Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Lep Masala","Lep Masala",,LEM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",260,non-veg,,5,F,,,0,,,1,0,Yes
"Halwa Masala (2pc)","Halwa Masala (2pc)",,HMP,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",320,non-veg,,5,F,,,0,,,1,0,Yes
"Halwa Jumbo Masala","Halwa Jumbo Masala",,HJM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",0,non-veg,,5,F,,,0,,,1,0,Yes
"Mori (shark) Masala","Mori (shark) Masala",,MSMA,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",400,non-veg,,5,F,,,0,,,1,0,Yes
"Mori (shark) Masala Fry","Mori (shark) Masala Fry",,MSMF,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",430,non-veg,,5,F,,,0,,,1,0,Yes
"Squid Masala","Squid Masala",,SQM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",380,non-veg,,5,F,,,0,,,1,0,Yes
"Squid Masala Fry","Squid Masala Fry",,SMF,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",410,non-veg,,5,F,,,0,,,1,0,Yes
"Rawas Jumbo Masala","Rawas Jumbo Masala",,RJM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",0,non-veg,,5,F,,,0,,,1,0,Yes
"Rawas Masala (2pc)","Rawas Masala (2pc)",,RMP,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",320,non-veg,,5,F,,,0,,,1,0,Yes
"Prawns Red Masala","Prawns Red Masala",,PRM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",350,non-veg,,5,F,,,0,,,1,0,Yes
"Mix Seafood Masala","Mix Seafood Masala",,MSM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",750,non-veg,,5,F,,,0,,,1,0,Yes
"Chicken Rotti (kori Rotti)","Chicken Rotti (kori Rotti)",,CRKR,,,,,"Non-Veg Main Course","Non-Veg Main Course",350,non-veg,,5,F,,,0,,,1,0,Yes
"Desi Chicken Rotti","Desi Chicken Rotti",,DCR,,,,,"Non-Veg Main Course","Non-Veg Main Course",400,non-veg,,5,F,,,0,,,1,0,Yes
"Chicken Vade","Chicken Vade",,CV,,,,,"Non-Veg Main Course","Non-Veg Main Course",460,non-veg,,5,F,,,0,,,1,0,Yes
"Mutton Vade","Mutton Vade",,MUV,,,,,"Non-Veg Main Course","Non-Veg Main Course",550,non-veg,,5,F,,,0,,,1,0,Yes
"Desi Chicken Vade","Desi Chicken Vade",,DCV,,,,,"Non-Veg Main Course","Non-Veg Main Course",510,non-veg,,5,F,,,0,,,1,0,Yes
